""	"AQ1409"	"AQ1334"	"AQ1331"	"AQ1333"	"AQ1227"	"AQ968"	"AQ1022"	"AQ1150"	"AQ1177"	"AQ1358"	"AQ1229"	"AQ1280"	"AQ1100"	"AQ1383"	"AQ1385"	"AQ1386"	"AQ1410"	"AQ1411"	"AQ1412"	"AQ1253"
"New.0.ReferenceOTU392"	0	11	0	0	2	38	0	49	0	13	0	12	5	0	0	0	0	0	0	6
"New.0.ReferenceOTU158"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU347"	0	0	0	497	10	0	0	1	4	0	0	0	0	33	2	0	0	4	0	2
"New.0.ReferenceOTU138"	0	0	16	0	12	8	0	7	1	20	0	5	0	2	0	0	0	0	0	34
"New.0.ReferenceOTU769"	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU293"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU292"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"New.0.ReferenceOTU541"	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"New.0.ReferenceOTU58"	0	0	11	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0
"New.0.ReferenceOTU311"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
"New.0.ReferenceOTU727"	0	0	1	0	2	82	0	66	3	40	0	21	1	0	0	0	0	0	0	9
"New.0.ReferenceOTU791"	1	0	64	0	83	1476	3	1200	52	737	2	461	0	9	0	0	0	3	0	381
"New.0.ReferenceOTU445"	0	5	3	0	3	6	4	7	4	2	0	2	3	2	1	0	0	2	10	2
"New.0.ReferenceOTU453"	0	1	1	0	0	18	4	2	0	44	0	5	10	0	0	0	0	0	7	0
"New.0.ReferenceOTU100"	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	2
"New.0.ReferenceOTU428"	0	3	2	0	3	1	2	6	9	2	0	4	1	5	0	0	0	2	1	4
"New.0.ReferenceOTU216"	0	0	1	586	4	0	0	0	8	0	0	0	1	52	0	0	0	0	0	1
"New.0.ReferenceOTU359"	1	44	10	0	20	1	1	1	0	0	0	3	24	0	0	0	1	0	20	0
"New.0.ReferenceOTU511"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU695"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU806"	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"New.0.ReferenceOTU803"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU678"	0	0	0	0	0	14	0	19	0	14	0	5	0	0	0	0	0	0	0	1
"New.0.ReferenceOTU411"	0	0	2	0	0	0	0	0	0	5	0	5	1	0	0	0	0	0	2	4
"New.0.ReferenceOTU41"	0	0	0	0	0	14	9	0	1	48	0	4	0	1	0	0	0	0	0	3
"New.0.ReferenceOTU43"	1	250	48	0	22	468	112	486	3	332	1	205	1829	5	0	0	0	0	1045	179
"New.0.ReferenceOTU323"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU325"	0	0	1	0	0	1	0	0	0	12	0	0	0	1	0	0	0	0	1	0
"New.0.ReferenceOTU324"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU739"	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	1	0
"New.0.ReferenceOTU103"	0	0	0	0	0	11	1	0	0	25	0	4	0	0	0	0	0	1	0	2
"New.0.ReferenceOTU31"	0	0	0	0	0	0	1	2	0	0	0	4	1	0	0	0	0	1	0	0
"New.0.ReferenceOTU745"	15	0	12	0	0	0	3	0	9	0	15	0	0	0	14	0	0	21	0	0
"New.0.ReferenceOTU329"	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
"New.0.ReferenceOTU111"	0	0	0	0	0	3	0	5	0	0	0	4	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU169"	0	0	0	0	0	0	34	0	0	4	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU165"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU161"	0	0	1	666	0	0	0	1	4	3	1	0	5	65	0	0	0	2	0	1
"New.0.ReferenceOTU162"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"New.0.ReferenceOTU369"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU564"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"New.0.ReferenceOTU680"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
"New.0.ReferenceOTU75"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
"New.0.ReferenceOTU77"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU709"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU660"	0	0	5	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU703"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU113"	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU509"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"New.0.ReferenceOTU357"	0	2	0	0	0	9	0	8	3	7	0	3	4	0	0	0	0	0	5	5
"New.0.CleanUp.ReferenceOTU157"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU1621"	36	0	8	0	0	0	1	0	27	0	32	0	0	0	41	0	0	20	0	0
"New.0.CleanUp.ReferenceOTU5129"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU9034"	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
"New.0.CleanUp.ReferenceOTU10145"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU10893"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
"New.0.CleanUp.ReferenceOTU12466"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU14180"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
"New.0.CleanUp.ReferenceOTU15269"	26	0	6	0	0	0	2	0	9	0	9	0	0	0	14	0	0	6	2	0
"New.0.CleanUp.ReferenceOTU16366"	0	489	0	0	0	0	10	7	3	0	1	0	58	0	0	0	1	0	114	0
"New.0.CleanUp.ReferenceOTU19193"	0	0	15	0	0	0	4	0	173	3	501	0	0	0	960	25	0	453	2	1
"New.0.CleanUp.ReferenceOTU20164"	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU22635"	52	0	12	0	0	0	0	0	8	0	27	0	0	1	34	0	0	16	1	0
"New.0.CleanUp.ReferenceOTU22975"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"New.0.CleanUp.ReferenceOTU24687"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU26719"	0	1	7	0	2	1	2	2	2	2	2	2	0	1	1	0	2	5	4	0
"New.0.CleanUp.ReferenceOTU27380"	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU29632"	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU32266"	0	0	2	0	3	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0
"New.0.CleanUp.ReferenceOTU34183"	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU38474"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
"New.0.CleanUp.ReferenceOTU41194"	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
"New.0.CleanUp.ReferenceOTU42791"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU43340"	24	0	16	0	0	0	1	0	29	0	35	0	0	0	26	0	0	13	0	0
"New.0.CleanUp.ReferenceOTU50341"	53	0	15	0	0	0	0	0	21	0	35	0	0	0	40	0	0	34	0	0
"New.0.CleanUp.ReferenceOTU54406"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU77786"	0	1	2	0	3	8	8	9	2	4	0	1	17	1	0	0	0	1	4	8
"New.0.CleanUp.ReferenceOTU88650"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU96823"	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
"New.0.CleanUp.ReferenceOTU102343"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU103413"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU104032"	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU104626"	113	0	40	0	0	0	1	0	30	0	18	0	0	0	69	0	0	64	1	0
"New.0.CleanUp.ReferenceOTU107099"	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU108577"	1	1	0	0	0	0	2	0	8	0	9	0	0	0	1	0	0	2	0	0
"New.0.CleanUp.ReferenceOTU109358"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU109702"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU111110"	0	0	3	0	11	31	0	35	0	13	0	15	0	0	0	0	0	0	0	24
"New.0.CleanUp.ReferenceOTU111477"	78	0	28	0	0	0	1	0	33	0	21	0	0	0	36	0	0	25	0	0
"New.0.CleanUp.ReferenceOTU116380"	16	0	0	0	0	0	1	0	8	0	10	0	0	0	15	4	10	9	0	0
"New.0.CleanUp.ReferenceOTU116408"	0	2	0	0	2	0	1	0	1	2	0	0	1	1	0	0	0	0	0	1
"New.0.CleanUp.ReferenceOTU121273"	0	0	3	0	4	2	5	2	0	2	0	2	1	0	0	0	0	0	3	4
"New.0.CleanUp.ReferenceOTU121922"	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU125389"	0	0	0	0	0	0	0	0	6	0	14	0	0	0	2	0	0	2	0	0
"New.0.CleanUp.ReferenceOTU125682"	0	0	1	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	1
"New.0.CleanUp.ReferenceOTU126975"	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0
"New.0.CleanUp.ReferenceOTU131470"	0	96	0	0	0	0	2207	5	5	0	2	0	135	1	1	2091	0	3	111	0
"New.0.CleanUp.ReferenceOTU135290"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU136263"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU138349"	42	0	17	0	0	0	0	0	32	0	64	0	0	0	46	0	0	40	0	0
"New.0.CleanUp.ReferenceOTU138900"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"New.0.CleanUp.ReferenceOTU139292"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU139618"	0	0	0	0	0	8	0	3	0	5	0	1	8	1	0	0	0	0	7	0
"New.1.ReferenceOTU4"	0	1	0	0	7	6	7	9	5	0	3	0	10	1	0	0	0	0	0	3
"New.1.ReferenceOTU258"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"New.1.ReferenceOTU260"	0	4	0	0	0	0	15	1	23	0	10	0	0	0	0	0	0	0	0	0
"New.1.ReferenceOTU264"	0	4	0	0	1	8	2	9	0	2	0	1	13	0	0	0	0	0	2	2
"New.1.ReferenceOTU279"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.1.ReferenceOTU183"	0	0	0	0	0	0	3	0	65	0	220	0	0	0	0	0	0	0	0	0
"New.1.ReferenceOTU144"	0	0	0	0	1	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0
"New.1.ReferenceOTU5"	0	1	0	0	10	11	15	5	3	0	0	0	5	0	0	0	0	0	0	6
"New.1.ReferenceOTU85"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"New.1.ReferenceOTU136"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.1.ReferenceOTU94"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"New.1.CleanUp.ReferenceOTU11659"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"New.1.CleanUp.ReferenceOTU13748"	25	0	563	0	0	0	0	0	0	0	0	0	0	2502	0	430	0	0	6	2
"New.1.CleanUp.ReferenceOTU18348"	0	0	0	425	0	0	0	0	0	0	0	0	0	20	0	0	0	1	0	0
"New.1.CleanUp.ReferenceOTU28004"	0	0	0	0	0	2	0	0	0	48	0	669	0	1	0	1	75	0	0	0
"New.2.ReferenceOTU159"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"New.2.ReferenceOTU15"	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"New.2.ReferenceOTU94"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.2.ReferenceOTU170"	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"New.2.ReferenceOTU148"	0	0	4	0	0	0	0	0	0	0	0	0	0	0	325	10	0	0	0	0
"New.3.ReferenceOTU476"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"New.3.ReferenceOTU285"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"New.3.ReferenceOTU421"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"New.3.ReferenceOTU424"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"New.3.ReferenceOTU105"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0
"New.3.ReferenceOTU106"	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"New.3.ReferenceOTU255"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"586093"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"604966"	0	0	2	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0
"949863"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"692154"	0	0	4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
"997439"	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"679245"	0	0	20	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0
